,ticker,frequency,score
313,CVS,10.0,121.0
300,SHOP,7.0,120.0
253,FACT,5.0,119.0
572,MASS,2.0,116.0
285,LEAP,5.0,116.0
67,UPST,11.0,114.0
427,CRON,3.0,111.0
160,XPEV,10.0,111.0
127,CGC,9.0,108.0
206,ROOT,7.0,108.0
458,AUTO,3.0,106.0
278,SUN,4.0,106.0
121,BEST,8.0,104.0
484,ULTA,2.0,104.0
202,EYES,7.0,103.0
260,TWTR,10.0,102.0
568,ONTO,2.0,102.0
21,NKE,6.0,101.0
561,BAND,2.0,101.0
417,UTME,12.0,100.0
115,RNG,4.0,96.0
223,FUN,7.0,94.0
351,BIT,5.0,93.0
304,OGI,6.0,91.0
499,ALOT,5.0,90.0
490,FORM,3.0,89.0
158,LULU,9.0,89.0
555,ALLY,1.0,89.0
222,APPS,3.0,88.0
598,SCHN,3.0,87.0
441,BIDU,4.0,86.0
306,ABNB,9.0,86.0
197,TACO,6.0,85.0
63,WMT,8.0,85.0
284,GOOG,3.0,85.0
99,LAND,6.0,83.0
216,INO,9.0,82.0
311,BILL,6.0,81.0
252,SLAM,2.0,79.0
236,FSR,7.0,79.0
492,RYAN,4.0,79.0
104,PYPL,8.0,78.0
582,PAYS,2.0,78.0
148,III,5.0,76.0
265,GAIN,4.0,75.0
498,DOOR,3.0,75.0
500,CMI,1.0,75.0
352,SPB,1.0,73.0
353,SHAK,1.0,73.0
414,ABC,5.0,72.0
165,MAPS,4.0,70.0
343,NNOX,3.0,69.0
161,GIM,6.0,69.0
200,BLUE,3.0,68.0
213,HRTX,5.0,68.0
380,JMIA,4.0,68.0
573,NOM,1.0,68.0
355,SAFE,5.0,67.0
143,UNIT,2.0,66.0
240,CHPT,6.0,65.0
548,NGL,2.0,65.0
454,IHS,1.0,65.0
330,EXPR,4.0,64.0
340,CRM,6.0,64.0
136,MRNA,6.0,64.0
516,FIX,2.0,62.0
435,COST,4.0,60.0
493,TREE,2.0,60.0
562,LAW,1.0,60.0
20,CRSP,6.0,59.0
157,WWE,5.0,59.0
566,CHX,1.0,56.0
4,MMAT,5.0,56.0
75,ARVL,5.0,55.0
567,GROW,2.0,55.0
170,FORD,6.0,55.0
140,IDEX,4.0,53.0
583,EFT,1.0,53.0
184,IRL,5.0,53.0
234,BYND,3.0,52.0
541,MGNI,4.0,52.0
361,EARN,2.0,52.0
150,DFH,3.0,49.0
341,FSLY,4.0,49.0
554,ROAD,1.0,49.0
257,JAN,5.0,49.0
321,RTX,2.0,47.0
137,FIVE,4.0,47.0
275,KOSS,4.0,47.0
356,LMND,5.0,46.0
296,SIX,5.0,46.0
290,SKIN,3.0,46.0
185,ATOS,3.0,46.0
385,MED,2.0,45.0
299,ETSY,3.0,45.0
418,AZN,3.0,45.0
322,COO,4.0,45.0
103,TTD,4.0,45.0
82,BODY,4.0,44.0
379,TDOC,4.0,43.0
357,ADP,3.0,43.0
239,ENPH,4.0,43.0
410,BRC,1.0,43.0
576,WARR,1.0,43.0
538,AMAT,2.0,42.0
254,IMAX,2.0,42.0
510,AMCX,3.0,42.0
575,PLOW,1.0,41.0
501,WAVE,3.0,41.0
226,ING,2.0,41.0
266,GLAD,2.0,40.0
402,PPG,1.0,40.0
438,COKE,2.0,40.0
527,AHPA,3.0,39.0
468,MON,3.0,39.0
571,LINK,1.0,39.0
187,THC,3.0,39.0
456,APR,4.0,39.0
362,ROCK,4.0,38.0
553,SAVA,3.0,38.0
423,RBA,1.0,38.0
272,LMT,2.0,37.0
258,DECK,1.0,37.0
451,TMO,2.0,37.0
214,HTBX,3.0,37.0
570,LOAN,1.0,37.0
52,NTLA,4.0,36.0
489,APH,2.0,36.0
326,LAZR,5.0,36.0
235,LOV,2.0,35.0
367,PFE,2.0,35.0
122,SRNE,3.0,35.0
354,KIND,3.0,35.0
396,BIRD,2.0,34.0
557,NYT,2.0,34.0
154,GEO,2.0,34.0
389,MIT,1.0,34.0
433,PPL,2.0,33.0
328,BFLY,3.0,33.0
506,HES,3.0,33.0
443,ADBE,2.0,32.0
539,FSLR,2.0,32.0
345,TOWN,3.0,31.0
476,HSBC,2.0,30.0
195,TWNK,3.0,30.0
593,FDX,3.0,30.0
120,RACE,2.0,30.0
178,TTWO,3.0,30.0
544,DELL,2.0,29.0
497,THO,2.0,29.0
442,PHD,2.0,29.0
276,UMC,3.0,28.0
398,MTD,1.0,28.0
403,MAIN,3.0,28.0
507,MOD,2.0,28.0
314,MAX,3.0,28.0
563,BROS,1.0,27.0
126,FDS,3.0,27.0
549,BZUN,1.0,27.0
565,SLVR,1.0,27.0
229,SDC,2.0,27.0
397,WOLF,3.0,27.0
602,EXP,3.0,27.0
528,BILI,2.0,27.0
448,MRK,1.0,26.0
504,THR,1.0,26.0
494,FSD,2.0,26.0
446,HMC,1.0,26.0
444,AZO,1.0,26.0
447,SJM,1.0,26.0
449,MYOV,1.0,26.0
302,TGT,3.0,26.0
450,NOC,1.0,26.0
445,DFS,1.0,26.0
461,QUAD,2.0,25.0
169,CCXI,2.0,25.0
420,FVRR,2.0,25.0
69,BAC,3.0,25.0
39,NEGG,4.0,25.0
521,IBKR,2.0,25.0
525,HIMX,2.0,24.0
111,UAL,2.0,24.0
132,MMS,2.0,24.0
193,HRC,2.0,24.0
199,GOGO,2.0,24.0
61,GILT,2.0,24.0
390,BUD,2.0,24.0
274,LYV,2.0,24.0
424,SUM,2.0,23.0
221,SUNS,1.0,23.0
325,VLDR,2.0,23.0
348,GPRO,3.0,23.0
208,CUK,2.0,23.0
244,BBQ,2.0,23.0
267,BBW,2.0,23.0
49,XLNX,3.0,23.0
374,NCLH,2.0,23.0
332,ATNF,2.0,23.0
584,ARKR,1.0,23.0
181,NUE,2.0,23.0
371,EDR,2.0,23.0
432,RAM,2.0,22.0
70,WFC,2.0,22.0
316,COUR,2.0,22.0
368,SBLK,1.0,22.0
378,QCOM,2.0,22.0
3,AUD,1.0,22.0
288,KHC,3.0,22.0
587,TSE,2.0,21.0
211,BLK,1.0,21.0
232,AIM,1.0,21.0
360,MRO,2.0,21.0
401,SBUX,2.0,21.0
241,UUUU,1.0,21.0
392,TXMD,2.0,21.0
376,UPS,2.0,20.0
409,DOCU,2.0,20.0
176,CMG,2.0,20.0
219,MEDS,2.0,20.0
577,PATH,1.0,20.0
